,VB,VBG,VBD,RBR,VBN,VBP,JJ,IN,genre,VBZ,DT,CD,MD,RP,NN,TO,UH,RB,NNP,NNS,PRP,WRB,PRP$,CC,WP,JJR,NNPS,JJS,$,FW,PDT,WDT,WP$,RBS,POS,EX
961,3,,5,,1,13,16,6,5,3,9,,,,30,,,52,48,9,5,2,1,,,,,,,,,,,,,
962,12,15,23,,,4,14,13,5,9,,2,3,1,48,1,,16,65,4,26,1,,,1,,,,,,,,,,,
963,13,6,6,,1,15,21,8,5,3,,5,10,3,35,,,12,38,8,16,,1,3,,,,,,,,,,,,
964,13,14,6,,,11,9,14,5,2,2,5,,,17,2,,7,18,2,21,,,6,,,,,,,,,,,,
965,11,7,6,,2,28,36,14,5,1,1,2,2,,74,3,29,15,82,5,16,7,1,2,,,,,,1,,,,,,
966,11,9,11,,3,23,26,4,5,3,3,4,,,65,,,17,46,10,19,,1,2,,2,,1,,,1,,,,,
967,11,9,11,,3,23,26,5,5,3,3,4,,,65,,,17,48,10,19,,1,2,,2,,1,,,1,,,,,
968,20,16,16,,4,33,38,7,5,5,6,5,4,,73,1,,15,56,15,38,5,4,2,2,1,,,,,,,,,,
969,5,4,1,,,3,15,1,5,2,,14,1,1,46,,,3,38,21,5,,,1,,,,,,,,,,,,
970,14,,,,4,8,7,2,5,,14,2,,,36,,7,8,40,,3,2,2,2,,,,,,,,,,,,
971,,,,,,22,5,5,5,,2,,,,18,,,,13,1,22,,,,,,,,,,,,,,,
972,9,5,5,1,12,30,16,4,5,2,2,1,3,1,18,,,31,19,3,33,5,1,3,,,,,,,,,,,,
973,28,,7,,2,5,14,3,5,4,2,,3,2,28,,,22,43,5,7,,2,,,1,,,,,,,,,,
974,3,5,8,1,3,8,10,9,5,2,,2,2,1,13,,1,8,24,2,15,,1,3,,2,,,,,,,,,,
975,2,20,,,,10,8,21,5,,1,2,2,,40,,,3,34,13,14,,,,4,2,,,1,,1,,,,,
976,1,,10,,,7,9,1,5,1,3,2,,,15,,,1,12,7,12,1,2,2,,,,,,,,,,,,
977,1,,4,,,17,36,2,5,3,,1,,,56,,,8,17,7,,,,,,,,,,3,,,,,,
978,1,3,3,,,7,12,2,5,7,,6,,,20,,,50,55,14,7,,,,,,,,,,,,,,,
979,6,11,4,,1,17,33,8,5,5,2,3,,5,75,1,,9,55,4,12,,,2,,1,,,,,,,,,,
980,,,,,,,,5,5,,,3,,,26,,,,9,1,,,,,,,,,,,,,,,,
981,12,1,3,,1,11,12,10,5,,,,3,,32,,,3,26,2,7,1,,1,1,,,,,,,,,,,
982,4,4,5,,3,8,9,8,5,1,3,,,,31,1,,5,32,8,8,5,4,1,,1,,,,,,,,,,
983,2,3,2,,1,6,18,8,5,3,,2,,5,44,,,5,32,4,5,,,,,2,,,,,,,,,,
984,6,5,11,,5,15,12,10,5,3,2,6,1,,62,2,,5,70,8,13,,,1,,1,,4,,1,,,,,,
985,6,,5,,1,12,8,5,5,2,3,2,1,,32,,1,5,17,4,7,,1,1,,,,,,,,,,1,,
986,13,9,4,,3,13,13,9,5,1,,27,,3,51,1,,4,37,7,14,,1,2,,1,,,,,,,,,,
987,6,1,10,,,9,12,7,5,2,1,3,,,66,,,6,35,7,7,1,,,,,,,,,,,,,,
988,38,4,3,6,2,9,19,14,5,3,1,4,10,,29,7,2,12,27,2,10,1,3,,,1,,,,,,,,,,
989,4,2,12,,11,11,8,2,5,2,1,2,1,,26,,,5,62,2,8,1,1,4,,,,,,,,,,,,
990,10,9,3,,4,9,19,2,5,3,3,2,,2,46,,,1,24,12,2,,5,6,,,,2,,,,,,,,
991,6,,2,,,9,1,,5,,,4,,,13,,3,1,8,2,10,,2,,,,,,,,,,,,,
992,7,34,7,1,3,18,14,14,5,3,4,8,,,17,2,,14,36,6,15,,3,4,,1,,,,,,,,,,
993,3,,3,,1,8,13,8,5,,,,,1,36,1,,5,23,13,5,1,4,8,,1,,,,,,,,,,
994,7,6,3,,2,14,15,1,5,2,2,2,2,1,55,1,6,3,48,,13,,,2,,,,1,,,,,,,,
995,16,12,6,,4,12,14,4,5,4,2,4,,6,36,,,26,40,8,14,,4,2,,,,,,,,,,,,
996,1,2,18,,2,7,,5,5,,,4,1,,41,,,1,30,3,23,1,,8,,1,,,,,,,,,,
997,4,2,7,,8,34,11,1,5,1,,,1,1,16,1,1,29,5,1,39,2,1,9,,,,,,,,,,,,
998,5,5,8,,1,5,3,9,5,,,10,,,23,2,,1,19,1,5,,,1,,,,,,,,,,,,
999,15,,6,,1,7,8,3,5,4,3,1,,1,43,3,,10,20,7,7,1,1,5,,,,,,,,,,,,
1000,21,6,4,,7,8,2,72,5,,,4,2,2,17,,,6,32,6,27,2,,,,,,,,,,,,,,
1001,8,14,15,,3,38,34,11,1,2,6,9,3,,94,1,,14,45,22,28,,2,15,,,1,,,,,,,,,
