,VB,VBG,VBD,RBR,VBN,VBP,JJ,IN,VBZ,DT,CD,MD,RP,NN,TO,UH,RB,NNP,NNS,PRP,WRB,PRP$,CC,WP,JJR,NNPS,JJS,$,FW,PDT,WDT,WP$,RBS,POS,EX
2,19,8,15,,2,18,40,11,7,10,1,7,4,58,,,15,35,9,19,1,2,10,,1,2,2,,,,,,,,
2,9,2,12,,3,21,21,10,1,1,4,1,2,23,,,15,35,11,28,3,,4,1,1,,,,,,,,,,
2,9,1,4,,5,12,21,6,3,8,1,2,,28,,,3,37,4,5,2,2,5,,1,,,,,,,,,,1
2,7,8,12,1,4,17,36,18,7,7,6,1,1,88,3,,13,53,11,19,,7,11,1,2,,1,,,1,,,,,
2,25,3,13,1,5,44,37,19,8,6,9,,1,105,5,,15,83,20,33,1,3,4,,2,,,,,,2,,,,
2,10,11,13,,7,22,28,9,7,7,1,2,3,66,,,16,48,19,11,,2,3,,2,,,,,,,,,,
2,5,6,2,,2,3,8,11,5,2,4,,,19,,,11,34,9,3,,2,3,,1,,1,,,,1,,,,
2,2,7,7,,1,38,51,15,3,4,6,,2,61,1,,11,129,7,29,,1,6,,1,,,,,2,1,,,,
2,10,5,18,,5,26,31,18,9,15,7,5,,68,1,,8,65,13,18,,8,2,2,1,1,,,,,3,,,,1
2,5,18,6,2,9,27,39,14,,3,7,,,68,1,,26,29,18,11,,3,,,2,1,,,,,,,,,
2,6,5,27,,2,23,81,14,4,6,5,,,48,1,,4,64,19,11,1,,2,,1,,,,,,,,,,
2,4,3,6,,1,38,40,13,16,4,3,2,,55,,,14,42,15,27,1,3,4,1,1,,,,,,,,1,,
2,4,12,23,,7,19,44,14,5,12,6,2,,86,,,23,65,18,26,,,8,,2,,1,,,,2,,,,
2,7,13,11,,9,21,22,9,6,6,9,1,1,66,1,,16,40,14,14,1,8,1,1,3,1,,,,,,,,,
2,11,1,1,,4,14,21,12,6,3,2,2,,58,1,,6,53,6,13,,,3,1,1,,1,,,,,,,,
2,,,,,,,2,3,,1,1,,,,,,1,20,1,1,,,,,1,,,,,,1,,,,
2,4,2,4,,4,10,16,14,4,2,5,,1,37,,,10,37,11,3,,2,1,,2,1,,,,,,,,,
2,3,3,5,,2,12,9,7,,3,2,,1,25,1,1,6,29,2,16,,,2,2,1,,,,,,,,,,
2,4,2,3,,2,7,24,13,1,2,3,,,40,1,,2,23,1,,,3,,,1,,1,,,,,,,,
2,9,7,8,,3,24,52,19,10,9,2,1,,72,2,,26,63,19,15,,4,3,1,2,,1,,,,,,,,
2,8,,40,,1,10,48,5,1,3,2,2,1,52,2,,8,70,8,14,,1,9,,1,,,,,,,,,,
2,5,19,2,1,4,10,16,8,2,3,3,2,1,58,1,,10,60,3,7,,6,4,,1,,,,1,,1,,,,
2,10,11,9,,2,36,37,17,6,2,4,1,2,82,1,,13,61,14,25,,2,5,,3,,,,,,,,,,
2,10,11,21,,4,22,38,5,7,8,2,,1,36,3,,9,37,3,36,2,5,4,,1,,,,,,,,,,
2,2,3,1,,1,3,10,4,1,3,1,2,,13,,,3,38,7,3,,,,,1,,,,,,,,,,
2,8,11,14,1,1,21,31,14,2,5,5,2,,60,1,,15,50,12,15,,3,2,,4,,,,1,,,,,,
2,27,9,9,,1,19,46,10,2,4,2,5,1,54,11,4,3,47,3,22,3,2,11,,1,,,,,,,,,,
2,,,,,,2,2,4,,1,1,,,,,,,18,1,2,,,,,1,,,,,,,,,,
2,8,9,6,,5,22,38,9,3,3,3,,,52,,,6,46,13,15,,4,3,2,1,,,,1,,,,,,
2,8,11,7,,1,26,9,20,2,3,2,2,,33,,,7,45,3,27,,1,4,,2,,,,,,,,,,
2,21,3,2,,1,18,16,9,3,5,2,1,,37,1,,2,49,7,14,4,2,,,1,1,1,,,,,,,,2
2,9,7,6,,1,17,22,9,2,7,1,,,33,,,10,50,20,4,1,,11,,1,,,,,,1,,,,
2,12,1,13,1,1,20,17,6,7,7,6,1,,28,,1,19,36,14,20,,1,3,5,1,,1,,,,,,,,
2,5,12,12,,1,5,27,12,2,6,2,1,,47,,,12,39,13,9,,2,1,,1,,,,,,,,,,
2,,,,,1,,1,3,,2,1,,,,,,,22,,,,,,,1,,,,,,,,,,
2,16,5,11,,10,6,20,11,2,10,9,,,55,1,,9,40,22,1,,17,,,1,,,,,,,,,,6
2,5,1,3,,6,6,10,4,3,1,3,2,,32,,,19,38,4,6,1,6,,,1,4,,,,,1,,,,
2,16,3,1,,3,17,27,15,1,8,2,1,,79,,,9,62,7,15,,10,3,,3,1,1,,,,,,,,
2,10,8,8,,6,9,31,8,5,7,2,1,,57,3,,11,42,6,6,,4,,,1,,2,,,1,,1,,,
2,17,5,8,,3,25,26,14,6,3,6,2,1,56,2,,13,55,10,24,1,3,5,1,1,,1,,1,,,,,,
2,7,2,4,,2,16,15,8,6,7,4,4,,49,,,16,52,11,15,2,2,8,2,1,,1,,,,,,,,
2,20,,12,,2,1,54,13,,1,5,13,2,187,2,,8,70,9,1,,2,,,1,,,3,26,,1,,,,
2,10,4,6,,4,23,25,12,6,4,4,5,1,39,,,17,47,6,17,,,1,1,1,,2,,,,1,,,,
2,,,,,,,2,4,,1,2,,,,,,,21,,,,,,,1,,,,,,,,,,
2,,,,,,,2,3,,1,2,,,,,,,22,,,,,,,1,,,,,,,,,,
2,6,7,9,,5,12,20,14,7,6,2,,,59,,,3,56,19,5,1,2,,,1,,,,,,1,,,,
2,12,5,8,,1,13,26,4,7,4,2,4,1,38,1,,9,39,16,12,,4,1,3,1,1,,,,,,,,,
2,13,2,4,,4,21,26,11,3,10,6,1,,54,1,,15,48,16,10,,2,2,,2,,,,,1,,,,,1
2,11,16,6,,,18,17,10,13,6,11,1,2,67,2,,16,39,11,23,1,3,9,,3,,,,,,1,,,,
2,4,6,12,,1,6,43,7,4,1,2,,,55,,1,11,25,12,1,,,,,2,,,,,,,,,,
2,9,5,8,,7,27,33,13,5,2,4,,,51,,,7,43,37,7,,2,,,1,,5,,1,,1,,,,
2,6,10,9,,3,12,19,7,4,4,2,,1,36,,,16,26,16,4,,6,,1,6,,1,,,,,,,,
2,2,8,6,,,11,17,5,3,1,3,,,27,,,12,24,7,13,,1,,,1,,,,,,,,,,
2,14,5,19,1,5,33,51,12,9,9,4,7,,91,1,,19,57,20,41,2,1,8,,1,,,,,,1,,,,
2,,3,3,,,12,19,7,,6,5,,1,28,,,8,45,18,5,,,,,1,1,1,,1,,,,,,
2,,,8,,10,10,5,4,3,4,4,,,19,,,3,32,7,7,,,5,,2,,1,,,,,,,,
2,5,4,14,,3,13,25,7,8,6,4,,,35,1,,14,45,16,9,,2,1,,3,,,,,,,,,,
2,15,17,12,1,2,11,48,14,6,10,4,2,,64,3,,15,33,17,4,,,,,1,,,,,,1,,,,
2,,,5,,1,7,5,5,1,3,2,,,17,,,3,32,3,7,,2,,1,1,,,,,,,,,,
2,,1,2,,1,5,3,5,1,3,4,,,5,,,,23,,5,,,,1,1,,,,,,,,,,
2,1,,5,,2,20,14,6,1,2,2,,,23,1,1,5,30,5,10,,,1,,1,,,,,,1,,,,
